,customer_id,customer_age,gender_male,gender_female,total_purchase_last_3_months,purchase_month_1,purchase_month_2,purchase_month_3,purchase_week_1,purchase_week_2,purchase_week_3,purchase_week_4,category_books,category_clothing,category_electronics,category_home,most_common_payment_method_cash,most_common_payment_method_credit_card,most_common_payment_method_crypto,most_common_payment_method_paypal
80210,49687,22,1,0,2978,2978.0,0.0,0.0,2978.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0,1,0,0
80215,8019,70,1,0,2835,2835.0,0.0,0.0,2835.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0,1,0,0
80218,17569,36,0,1,723,723.0,0.0,0.0,723.0,0.0,0.0,0.0,7.0,2.0,0.0,2.0,0,0,0,1
80222,33305,43,1,0,3273,1812.0,1461.0,0.0,1812.0,0.0,0.0,1461.0,0.0,5.0,5.0,0.0,0,1,0,0
80225,9025,57,1,0,4125,4125.0,0.0,0.0,4125.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0,0,1,0
80229,19164,53,0,1,8746,8746.0,0.0,0.0,3941.0,0.0,0.0,4805.0,0.0,6.0,2.0,1.0,0,1,0,0
80233,21429,41,1,0,1152,1152.0,0.0,0.0,1152.0,0.0,0.0,1707.0,5.0,5.0,0.0,10.0,0,0,0,1
80238,24784,22,0,1,2940,2940.0,0.0,0.0,2940.0,0.0,0.0,0.0,8.0,0.0,7.0,1.0,0,1,0,0
80244,44181,54,0,1,2835,1135.0,0.0,1700.0,1135.0,0.0,0.0,1700.0,3.0,1.0,3.0,5.0,0,1,0,0
80249,17158,33,1,0,3930,3930.0,0.0,0.0,3930.0,0.0,0.0,0.0,8.0,6.0,0.0,5.0,0,1,0,0
80255,7785,35,1,0,3411,3411.0,0.0,0.0,3411.0,0.0,0.0,0.0,13.0,2.0,7.0,4.0,0,1,0,0
80262,7451,70,1,0,3989,3989.0,0.0,0.0,3504.0,0.0,0.0,2699.0,5.0,8.0,4.0,2.0,0,0,0,1
80269,7316,60,0,1,2864,2864.0,0.0,0.0,2864.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0,1,0,0
80273,10685,24,1,0,886,886.0,0.0,0.0,886.0,0.0,0.0,3784.0,8.0,0.0,12.0,3.0,0,1,0,0
80281,4673,54,1,0,2633,2633.0,0.0,0.0,2633.0,0.0,0.0,0.0,8.0,5.0,1.0,5.0,0,0,0,1
80287,29237,59,1,0,2497,2497.0,0.0,0.0,2497.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0,1,0,0
80290,22153,22,1,0,4507,4507.0,0.0,0.0,4507.0,0.0,0.0,0.0,14.0,14.0,5.0,3.0,0,1,0,0
80299,8681,20,0,1,5976,3418.0,0.0,2558.0,3418.0,0.0,0.0,2558.0,4.0,0.0,5.0,7.0,0,1,0,0
80304,16570,28,0,1,2839,2839.0,0.0,0.0,2839.0,0.0,0.0,0.0,6.0,0.0,9.0,7.0,0,1,0,0
80310,1725,51,0,1,3728,839.0,0.0,2889.0,839.0,0.0,0.0,2889.0,0.0,4.0,0.0,4.0,1,0,0,0
80313,24654,18,0,1,2088,1861.0,0.0,227.0,1633.0,0.0,228.0,227.0,11.0,0.0,5.0,7.0,0,1,0,0
80320,49007,61,0,1,3838,3838.0,0.0,0.0,3838.0,0.0,0.0,0.0,11.0,1.0,4.0,0.0,0,0,0,1
80326,30828,44,0,1,1066,1066.0,0.0,0.0,1066.0,0.0,0.0,8167.0,2.0,2.0,4.0,4.0,0,0,0,1
80330,25701,56,0,1,1835,1835.0,0.0,0.0,1835.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,1,0,0
80332,8214,42,0,1,1091,1091.0,0.0,0.0,1091.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1,0,0,0
80336,16695,54,1,0,1257,1257.0,0.0,0.0,1257.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0,1,0,0
80339,37755,60,1,0,4390,4390.0,0.0,0.0,4390.0,0.0,0.0,0.0,3.0,7.0,2.0,0.0,0,0,0,1
80346,41272,70,0,1,406,406.0,0.0,0.0,406.0,0.0,0.0,0.0,4.0,7.0,1.0,4.0,0,1,0,0
80351,18367,18,1,0,1239,1239.0,0.0,0.0,1239.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,0,1,0,0
80358,42334,58,0,1,1421,1421.0,0.0,0.0,1421.0,0.0,0.0,0.0,10.0,8.0,0.0,14.0,1,0,0,0
80368,23079,27,1,0,5069,5069.0,0.0,0.0,5069.0,0.0,0.0,4959.0,0.0,3.0,8.0,0.0,0,1,0,0
80371,45854,68,1,0,2326,2326.0,0.0,0.0,2326.0,0.0,0.0,0.0,0.0,5.0,13.0,3.0,0,1,0,0
80376,46996,24,1,0,3795,3795.0,0.0,0.0,3795.0,0.0,0.0,0.0,0.0,9.0,3.0,10.0,0,1,0,0
80383,25811,67,0,1,5149,1725.0,3424.0,0.0,1725.0,0.0,0.0,3424.0,2.0,0.0,7.0,3.0,0,1,0,0
80387,19725,44,0,1,2337,812.0,0.0,1525.0,812.0,0.0,0.0,1525.0,17.0,6.0,6.0,3.0,0,0,0,1
80400,5846,70,0,1,2831,2831.0,0.0,0.0,2831.0,0.0,0.0,0.0,5.0,7.0,2.0,6.0,1,0,0,0
80407,43948,29,0,1,285,285.0,0.0,0.0,285.0,0.0,0.0,0.0,3.0,8.0,0.0,2.0,0,1,0,0
80412,10094,56,1,0,2916,2184.0,0.0,732.0,2184.0,0.0,0.0,732.0,8.0,4.0,11.0,2.0,0,1,0,0
80419,6619,24,1,0,4338,4018.0,0.0,320.0,4018.0,0.0,0.0,5154.0,2.0,6.0,0.0,4.0,0,0,0,1
80424,5078,30,1,0,410,410.0,0.0,0.0,410.0,0.0,0.0,0.0,10.0,2.0,0.0,5.0,1,0,0,0
80429,24463,57,1,0,4361,4361.0,0.0,0.0,4361.0,0.0,0.0,0.0,9.0,0.0,2.0,3.0,1,0,0,0
80434,23187,52,1,0,2427,2427.0,0.0,0.0,2427.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0,0,0,1
80438,48692,40,1,0,2177,2177.0,0.0,0.0,2177.0,0.0,0.0,255.0,6.0,3.0,0.0,3.0,0,0,0,1
80442,29434,22,1,0,2046,2046.0,0.0,0.0,2046.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1,0,0,0
80444,39740,31,0,1,3560,3560.0,0.0,0.0,3560.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0,1,0,0
80449,31167,41,1,0,1901,1901.0,0.0,0.0,1901.0,0.0,0.0,0.0,2.0,0.0,3.0,10.0,0,1,0,0
80453,47366,41,1,0,3296,3296.0,0.0,0.0,3296.0,0.0,0.0,0.0,2.0,5.0,1.0,5.0,0,1,0,0
80458,27554,69,1,0,3347,3347.0,0.0,0.0,3347.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1,0,0,0
80460,16098,26,1,0,2599,2599.0,0.0,0.0,2599.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,0,0,1,0
80466,39678,40,1,0,3044,3044.0,0.0,0.0,3044.0,0.0,0.0,4001.0,5.0,10.0,12.0,2.0,0,1,0,0
80476,43002,44,1,0,3071,3071.0,0.0,0.0,3071.0,0.0,0.0,0.0,9.0,3.0,3.0,8.0,0,1,0,0
80483,35705,40,1,0,573,573.0,0.0,0.0,573.0,0.0,0.0,3200.0,7.0,7.0,5.0,4.0,0,1,0,0
80491,3910,50,0,1,1652,1652.0,0.0,0.0,1652.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,0,0,0,1
80496,46855,24,0,1,5050,5050.0,0.0,0.0,5050.0,0.0,0.0,0.0,6.0,12.0,0.0,5.0,1,0,0,0
80506,28497,36,0,1,5528,3589.0,1939.0,0.0,3589.0,0.0,0.0,4702.0,9.0,4.0,4.0,1.0,0,0,0,1
80512,2652,42,0,1,3089,3089.0,0.0,0.0,3089.0,0.0,0.0,0.0,12.0,5.0,4.0,0.0,1,0,0,0
80518,33361,57,1,0,7324,7324.0,0.0,0.0,7324.0,0.0,0.0,0.0,8.0,5.0,0.0,3.0,0,0,1,0
80524,2215,48,1,0,3784,1190.0,2594.0,0.0,1190.0,0.0,0.0,2594.0,22.0,8.0,12.0,2.0,0,1,0,0
80535,45486,38,0,1,773,773.0,0.0,0.0,773.0,0.0,0.0,0.0,7.0,0.0,5.0,3.0,0,1,0,0
80540,28135,51,1,0,3277,3277.0,0.0,0.0,3277.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0,1,0,0
80543,24614,65,1,0,1948,1948.0,0.0,0.0,1948.0,0.0,0.0,0.0,12.0,6.0,0.0,3.0,0,1,0,0
80549,21134,52,0,1,4084,4084.0,0.0,0.0,4084.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0,1,0,0
80554,5507,61,1,0,4561,4561.0,0.0,0.0,4561.0,0.0,0.0,0.0,3.0,5.0,10.0,0.0,0,1,0,0
80560,10855,62,0,1,5276,5276.0,0.0,0.0,5276.0,0.0,0.0,0.0,5.0,11.0,3.0,8.0,0,0,0,1
80567,32523,39,1,0,4311,4311.0,0.0,0.0,3581.0,0.0,0.0,1740.0,7.0,9.0,3.0,9.0,1,0,0,0
80576,36276,30,1,0,6682,2771.0,3911.0,0.0,2771.0,0.0,0.0,8942.0,6.0,2.0,4.0,9.0,0,1,0,0
80582,27437,20,1,0,3016,3016.0,0.0,0.0,3016.0,0.0,0.0,0.0,5.0,3.0,0.0,5.0,0,1,0,0
80588,1037,62,1,0,3486,3486.0,0.0,0.0,3486.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0,0,0,1
80591,1908,51,0,1,1302,1302.0,0.0,0.0,1302.0,0.0,0.0,865.0,5.0,7.0,13.0,4.0,0,1,0,0
80598,21266,38,1,0,1310,1310.0,0.0,0.0,1310.0,0.0,0.0,1896.0,11.0,7.0,2.0,1.0,0,1,0,0
80605,16381,51,0,1,627,627.0,0.0,0.0,627.0,0.0,0.0,0.0,7.0,5.0,0.0,3.0,0,0,0,1
80609,44126,38,0,1,599,599.0,0.0,0.0,599.0,0.0,0.0,0.0,4.0,6.0,2.0,2.0,0,1,0,0
80616,5657,32,1,0,2086,2086.0,0.0,0.0,2086.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0,1,0,0
80619,41911,69,0,1,4229,4229.0,0.0,0.0,4229.0,0.0,0.0,0.0,6.0,15.0,9.0,13.0,0,1,0,0
80632,40958,29,0,1,4597,4597.0,0.0,0.0,4597.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,1,0,0,0
80636,19902,64,0,1,5889,5211.0,678.0,0.0,5211.0,0.0,0.0,678.0,3.0,10.0,8.0,1.0,0,0,0,1
80644,42998,24,0,1,4954,2962.0,0.0,1992.0,2962.0,0.0,0.0,1992.0,0.0,2.0,5.0,0.0,1,0,0,0
80647,16817,35,0,1,4561,4561.0,0.0,0.0,4561.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,0,1,0,0
80652,48295,39,1,0,1053,1053.0,0.0,0.0,1053.0,0.0,0.0,0.0,3.0,10.0,7.0,2.0,0,1,0,0
80660,18716,31,0,1,2758,922.0,1836.0,0.0,922.0,0.0,0.0,1836.0,0.0,5.0,4.0,7.0,0,1,0,0
80664,32017,36,1,0,1714,1714.0,0.0,0.0,1714.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,0,1,0,0
80671,24173,21,0,1,1800,1800.0,0.0,0.0,1800.0,0.0,0.0,0.0,4.0,13.0,7.0,4.0,0,0,0,1
80679,13466,46,0,1,5655,1619.0,4036.0,0.0,1619.0,0.0,0.0,4036.0,8.0,3.0,4.0,0.0,0,1,0,0
80686,48876,21,1,0,3807,3807.0,0.0,0.0,3807.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1,0,0,0
80689,49864,28,1,0,9220,2601.0,0.0,6619.0,2601.0,0.0,0.0,11222.0,8.0,11.0,0.0,0.0,0,0,0,1
80695,28611,35,0,1,8142,8142.0,0.0,0.0,4626.0,3516.0,0.0,0.0,5.0,11.0,0.0,0.0,0,1,0,0
80701,26172,56,1,0,2864,2864.0,0.0,0.0,2864.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,1,0,0,0
80706,47420,21,0,1,1867,1867.0,0.0,0.0,1867.0,0.0,0.0,4646.0,0.0,3.0,2.0,5.0,0,1,0,0
80710,24179,50,0,1,2344,2344.0,0.0,0.0,2344.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0,1,0,0
80714,44590,53,1,0,4320,4320.0,0.0,0.0,4320.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0,1,0,0
80717,43579,33,0,1,3045,650.0,2395.0,0.0,650.0,0.0,0.0,2395.0,3.0,12.0,4.0,6.0,0,0,0,1
80724,26981,42,0,1,2684,2684.0,0.0,0.0,2684.0,0.0,0.0,0.0,4.0,5.0,7.0,9.0,0,0,0,1
80731,26796,37,0,1,239,239.0,0.0,0.0,239.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0,1,0,0
80737,42917,66,1,0,5099,5099.0,0.0,0.0,5099.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1,0,0,0
80739,1487,25,0,1,5081,5081.0,0.0,0.0,295.0,0.0,0.0,4786.0,6.0,7.0,12.0,0.0,0,1,0,0
80748,22278,69,0,1,4776,4776.0,0.0,0.0,4776.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,1,0,0,0
80756,18206,43,0,1,5010,3258.0,0.0,1752.0,3258.0,0.0,0.0,1752.0,13.0,7.0,0.0,5.0,0,0,0,1
80763,38519,56,0,1,3382,3382.0,0.0,0.0,3382.0,0.0,0.0,0.0,10.0,9.0,4.0,1.0,0,0,0,1
80771,23240,60,0,1,1073,1073.0,0.0,0.0,1073.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0,0,0,1
80776,8955,49,1,0,4753,4753.0,0.0,0.0,4753.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0,1,0,0
80779,26876,23,1,0,3545,3545.0,0.0,0.0,3545.0,0.0,0.0,213.0,3.0,6.0,0.0,2.0,0,1,0,0
80783,24178,56,0,1,3112,3112.0,0.0,0.0,3112.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0
80784,9292,50,0,1,8046,8046.0,0.0,0.0,4872.0,0.0,0.0,3174.0,2.0,6.0,2.0,7.0,0,0,0,1
80791,30914,37,0,1,2013,2013.0,0.0,0.0,2013.0,0.0,0.0,0.0,10.0,2.0,5.0,0.0,0,0,0,1
80796,16752,53,0,1,2543,1793.0,750.0,0.0,1793.0,0.0,0.0,750.0,6.0,14.0,9.0,0.0,0,1,0,0
80806,28359,19,0,1,3135,3135.0,0.0,0.0,3135.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0,0,0,1
80810,26612,43,0,1,725,725.0,0.0,0.0,725.0,0.0,0.0,0.0,1.0,6.0,10.0,11.0,0,0,0,1
80818,36183,55,1,0,4682,4682.0,0.0,0.0,1861.0,0.0,0.0,2821.0,7.0,5.0,0.0,2.0,1,0,0,0
80822,10869,24,1,0,1316,1316.0,0.0,0.0,1316.0,0.0,0.0,0.0,5.0,9.0,12.0,4.0,1,0,0,0
80830,16044,57,1,0,7588,7588.0,0.0,0.0,4607.0,0.0,0.0,2981.0,13.0,2.0,3.0,0.0,0,0,0,1
80835,1722,39,0,1,8201,8201.0,0.0,0.0,3828.0,0.0,0.0,4373.0,1.0,7.0,6.0,0.0,0,1,0,0
80842,47484,54,0,1,4026,4026.0,0.0,0.0,4026.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,0,1,0,0
80846,20992,22,1,0,3454,3454.0,0.0,0.0,3454.0,0.0,0.0,0.0,5.0,4.0,0.0,3.0,0,0,0,1
80850,25466,27,0,1,5011,1999.0,0.0,3012.0,1999.0,0.0,0.0,3012.0,2.0,1.0,4.0,0.0,0,0,0,1
80853,48705,30,0,1,1588,1588.0,0.0,0.0,1588.0,0.0,0.0,4187.0,9.0,1.0,6.0,2.0,1,0,0,0
80860,39759,64,0,1,4637,4637.0,0.0,0.0,4637.0,0.0,0.0,0.0,6.0,5.0,9.0,4.0,0,1,0,0
80867,32900,49,0,1,3522,3522.0,0.0,0.0,3522.0,0.0,0.0,0.0,3.0,5.0,6.0,0.0,0,0,0,1
80871,5242,18,1,0,4953,915.0,4038.0,0.0,915.0,0.0,0.0,4038.0,5.0,10.0,4.0,14.0,0,1,0,0
80878,19768,34,1,0,3059,3059.0,0.0,0.0,3059.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1,0,0,0
80880,39265,64,1,0,2038,2038.0,0.0,0.0,2038.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0,1,0,0
80883,27279,35,1,0,4912,4912.0,0.0,0.0,4912.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0,1,0,0
80887,38177,69,1,0,4267,4267.0,0.0,0.0,4267.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,1,0,0
80888,11348,65,0,1,3344,3344.0,0.0,0.0,3344.0,0.0,0.0,0.0,0.0,7.0,3.0,9.0,0,0,0,1
80894,18488,46,1,0,5008,5008.0,0.0,0.0,5008.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0,0,0,1
80898,46321,52,0,1,2460,2460.0,0.0,0.0,2460.0,0.0,0.0,0.0,4.0,7.0,0.0,6.0,0,1,0,0
80903,1816,35,0,1,6506,2614.0,0.0,3892.0,2614.0,0.0,0.0,3892.0,5.0,8.0,3.0,5.0,0,1,0,0
80909,14055,44,0,1,2250,2250.0,0.0,0.0,2250.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,1,0,0,0
80914,24158,25,0,1,5184,5184.0,0.0,0.0,1933.0,0.0,0.0,3251.0,14.0,6.0,8.0,1.0,0,0,1,0
80922,8187,23,1,0,2756,2756.0,0.0,0.0,2756.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1,0,0,0
80925,8286,30,0,1,4088,4088.0,0.0,0.0,4088.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,1,0,0,0
80929,11722,56,0,1,2517,2517.0,0.0,0.0,2517.0,0.0,0.0,0.0,2.0,2.0,15.0,1.0,0,1,0,0
80936,26670,65,0,1,1770,1770.0,0.0,0.0,1770.0,0.0,0.0,0.0,4.0,5.0,10.0,7.0,0,0,1,0
80944,47870,34,0,1,222,222.0,0.0,0.0,222.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0,0,0,1
80948,10579,50,1,0,318,318.0,0.0,0.0,318.0,0.0,0.0,0.0,11.0,1.0,0.0,2.0,0,0,1,0
80953,23122,60,1,0,8553,8553.0,0.0,0.0,8553.0,0.0,0.0,0.0,2.0,7.0,0.0,5.0,0,1,0,0
80957,21244,50,0,1,1342,1342.0,0.0,0.0,1342.0,0.0,0.0,4859.0,6.0,8.0,0.0,5.0,0,1,0,0
80965,10481,29,1,0,2400,1578.0,0.0,822.0,1578.0,0.0,0.0,822.0,3.0,16.0,2.0,0.0,0,0,0,1
80973,21158,64,0,1,4038,4038.0,0.0,0.0,4038.0,0.0,0.0,0.0,11.0,10.0,1.0,0.0,0,1,0,0
80981,7306,67,1,0,4383,4383.0,0.0,0.0,4383.0,0.0,0.0,0.0,5.0,5.0,6.0,0.0,0,1,0,0
80985,11181,52,0,1,3214,3214.0,0.0,0.0,3214.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0,1,0,0
80988,49053,31,0,1,522,522.0,0.0,0.0,350.0,0.0,0.0,172.0,11.0,5.0,2.0,17.0,1,0,0,0
80999,41844,49,0,1,1110,1110.0,0.0,0.0,1110.0,0.0,0.0,0.0,5.0,6.0,1.0,2.0,0,1,0,0
81006,1787,62,1,0,818,818.0,0.0,0.0,818.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,1,0,0
81008,38001,39,0,1,6417,1482.0,4935.0,0.0,1482.0,0.0,0.0,4935.0,6.0,2.0,0.0,3.0,1,0,0,0
81012,11364,26,1,0,1387,1387.0,0.0,0.0,1387.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1,0,0,0
81015,14766,21,0,1,5170,5170.0,0.0,0.0,5170.0,0.0,0.0,0.0,6.0,5.0,8.0,0.0,0,1,0,0
81020,46761,43,0,1,4011,4011.0,0.0,0.0,4011.0,0.0,0.0,0.0,5.0,11.0,3.0,9.0,1,0,0,0
81028,25356,26,0,1,1097,1097.0,0.0,0.0,1097.0,0.0,0.0,0.0,10.0,4.0,6.0,1.0,0,1,0,0
81036,23802,54,0,1,13243,5190.0,0.0,8053.0,5190.0,0.0,0.0,8053.0,9.0,7.0,2.0,3.0,0,1,0,0
81044,5732,45,1,0,2429,2429.0,0.0,0.0,2429.0,0.0,0.0,0.0,0.0,16.0,0.0,7.0,0,1,0,0
81050,17111,64,0,1,4749,4749.0,0.0,0.0,4749.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0,1,0,0
81055,24092,25,1,0,5124,5124.0,0.0,0.0,5124.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0,0,0,1
81058,44986,68,1,0,1824,1824.0,0.0,0.0,1824.0,0.0,0.0,0.0,10.0,8.0,8.0,3.0,1,0,0,0
81066,572,22,0,1,2316,2316.0,0.0,0.0,2316.0,0.0,0.0,5051.0,15.0,0.0,5.0,0.0,0,1,0,0
81072,11926,33,1,0,1252,1252.0,0.0,0.0,1252.0,0.0,0.0,0.0,1.0,17.0,2.0,8.0,1,0,0,0
81082,11256,46,0,1,3079,2076.0,1003.0,0.0,2076.0,0.0,0.0,1003.0,4.0,0.0,7.0,7.0,1,0,0,0
81089,6350,48,1,0,4234,4234.0,0.0,0.0,4234.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,0,1,0,0
81095,15126,40,0,1,11491,3982.0,7509.0,0.0,3982.0,0.0,0.0,11925.0,15.0,8.0,0.0,4.0,1,0,0,0
81104,48997,67,0,1,4901,4901.0,0.0,0.0,4901.0,0.0,0.0,0.0,3.0,5.0,0.0,4.0,0,0,0,1
81108,24211,59,1,0,7249,4716.0,2533.0,0.0,4716.0,0.0,0.0,2533.0,4.0,8.0,0.0,3.0,0,1,0,0
81112,9282,53,1,0,4198,1954.0,2244.0,0.0,1954.0,0.0,0.0,7177.0,12.0,3.0,9.0,2.0,0,1,0,0
81120,21484,58,1,0,3514,3514.0,0.0,0.0,3514.0,0.0,0.0,0.0,4.0,9.0,2.0,4.0,0,0,0,1
81126,20271,33,1,0,1488,1488.0,0.0,0.0,1488.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0,1,0,0
81131,29521,45,0,1,3343,3343.0,0.0,0.0,3343.0,0.0,0.0,0.0,5.0,3.0,0.0,5.0,1,0,0,0
81135,21187,65,0,1,4939,4939.0,0.0,0.0,4939.0,0.0,0.0,0.0,5.0,7.0,8.0,0.0,0,0,0,1
81142,46604,25,1,0,5721,4972.0,0.0,749.0,4972.0,0.0,0.0,749.0,3.0,3.0,0.0,4.0,0,1,0,0
81146,28825,38,1,0,2393,2393.0,0.0,0.0,2393.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,0,1,0,0
81150,23846,70,1,0,2915,2915.0,0.0,0.0,2915.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,1,0,0,0
81153,26056,29,1,0,5040,5040.0,0.0,0.0,5040.0,0.0,0.0,0.0,3.0,7.0,5.0,3.0,0,1,0,0
81159,22997,33,0,1,2840,2840.0,0.0,0.0,2840.0,0.0,0.0,4006.0,1.0,4.0,0.0,8.0,0,1,0,0
81163,866,48,0,1,4028,4028.0,0.0,0.0,4028.0,0.0,0.0,0.0,7.0,11.0,3.0,0.0,0,0,0,1
81171,6892,27,1,0,5736,3453.0,0.0,2283.0,3453.0,0.0,0.0,2283.0,14.0,0.0,7.0,0.0,0,1,0,0
81178,33853,46,1,0,5945,4540.0,0.0,1405.0,4540.0,0.0,0.0,1405.0,2.0,9.0,1.0,3.0,0,1,0,0
81183,23696,59,1,0,5215,5215.0,0.0,0.0,5215.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,0,1,0,0
81188,36085,56,0,1,3848,3848.0,0.0,0.0,1560.0,2288.0,0.0,0.0,5.0,0.0,8.0,0.0,1,0,0,0
81191,14514,43,1,0,1616,1616.0,0.0,0.0,1616.0,0.0,0.0,0.0,4.0,5.0,0.0,10.0,1,0,0,0
81195,30124,31,0,1,3305,1583.0,1722.0,0.0,1583.0,0.0,0.0,1722.0,9.0,17.0,3.0,6.0,0,1,0,0
81205,37333,57,0,1,5166,2553.0,0.0,2613.0,2553.0,0.0,0.0,2613.0,4.0,7.0,4.0,0.0,1,0,0,0
81211,49261,30,0,1,2433,674.0,1759.0,0.0,674.0,0.0,0.0,4390.0,12.0,6.0,0.0,5.0,0,1,0,0
81217,14868,68,0,1,3558,3558.0,0.0,0.0,3558.0,0.0,0.0,0.0,3.0,6.0,3.0,3.0,1,0,0,0
81223,21565,43,1,0,3790,1623.0,0.0,2167.0,1623.0,0.0,0.0,2167.0,9.0,0.0,6.0,4.0,0,1,0,0
81230,9719,70,1,0,7226,4657.0,0.0,2569.0,4657.0,0.0,0.0,2569.0,0.0,7.0,0.0,4.0,0,0,0,1
81233,20830,26,0,1,3920,1661.0,2259.0,0.0,1661.0,0.0,0.0,2259.0,0.0,2.0,1.0,0.0,1,0,0,0
81235,13548,60,0,1,3835,3835.0,0.0,0.0,3835.0,0.0,0.0,5466.0,16.0,4.0,5.0,4.0,0,0,0,1
81242,29223,21,0,1,7229,7229.0,0.0,0.0,3234.0,0.0,3995.0,0.0,9.0,5.0,0.0,5.0,0,0,0,1
81248,38282,49,1,0,2539,2539.0,0.0,0.0,2539.0,0.0,0.0,0.0,3.0,4.0,6.0,4.0,0,1,0,0
81254,1509,23,1,0,4694,4694.0,0.0,0.0,4694.0,0.0,0.0,0.0,13.0,4.0,7.0,3.0,0,0,0,1
81264,22154,45,1,0,2631,437.0,0.0,2194.0,437.0,0.0,0.0,2194.0,0.0,6.0,8.0,5.0,0,1,0,0
81270,28104,65,1,0,9831,4665.0,5166.0,0.0,4665.0,0.0,0.0,5166.0,17.0,10.0,4.0,1.0,0,1,0,0
81280,22890,69,1,0,1068,1068.0,0.0,0.0,1068.0,0.0,0.0,899.0,3.0,5.0,0.0,4.0,0,1,0,0
81284,1201,59,0,1,4135,4135.0,0.0,0.0,4135.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1,0,0,0
81287,23142,53,0,1,1357,1357.0,0.0,0.0,1357.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0,0,0,1
81292,18,58,1,0,602,602.0,0.0,0.0,602.0,0.0,0.0,0.0,3.0,15.0,3.0,0.0,1,0,0,0
81300,49429,51,0,1,5171,5171.0,0.0,0.0,5171.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,0,0,0
81302,21907,31,0,1,2327,2327.0,0.0,0.0,2327.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0,1,0,0
81305,36292,20,1,0,2191,2191.0,0.0,0.0,2191.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0,0,0,1
81309,12997,56,1,0,2665,2665.0,0.0,0.0,2665.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0,1,0,0
81312,36836,36,1,0,1990,1990.0,0.0,0.0,1990.0,0.0,0.0,0.0,5.0,1.0,5.0,4.0,0,1,0,0
81317,23922,68,1,0,7191,5097.0,0.0,2094.0,5097.0,0.0,0.0,2094.0,10.0,5.0,0.0,5.0,0,0,0,1
81323,1407,20,0,1,5496,2328.0,3168.0,0.0,1532.0,0.0,796.0,3168.0,1.0,11.0,0.0,6.0,0,1,0,0
